filename,caption
daisy\10140303196_b88d3d6cec.jpg,"a close up of a white flower with yellow center, a type of daisy"
daisy\10172379554_b296050f82_n.jpg,"a puddle with water, a type of daisy"
daisy\10172567486_2748826a8b.jpg,"flowers in a glass vase, a type of daisy"
daisy\10172636503_21bededa75_n.jpg,"a woman with a flower in her hair, a type of daisy"
daisy\10391248763_1d16681106_n.jpg,"a little girl in a red dress is walking through a field of daies, a type of daisy"
daisy\10437754174_22ec990b77_m.jpg,"a single white flower, a type of daisy"
daisy\10437770546_8bb6f7bdd3_m.jpg,"black and white photograph of a single flower, a type of daisy"
daisy\10437929963_bc13eebe0c.jpg,"a close up of a flower with a blury background, a type of daisy"
daisy\10466290366_cc72e33532.jpg,"a bunch of white flowers sitting on top of a green plant, a type of daisy"
daisy\10466558316_a7198b87e2.jpg,"a close up of some white flowers, a type of daisy"
daisy\10555749515_13a12a026e.jpg,"a bee on a flower, a type of daisy"
daisy\10555815624_dc211569b0.jpg,"a bee on a flower, a type of daisy"
daisy\10555826524_423eb8bf71_n.jpg,"a bunch of purple flowers with yellow centers, a type of daisy"
daisy\10559679065_50d2b16f6d.jpg,"a white flower, a type of daisy"
daisy\10712722853_5632165b04.jpg,"a white flower with yellow center, a type of daisy"
daisy\10770585085_4742b9dac3_n.jpg,"a white flower with purple centers, a type of daisy"
daisy\10841136265_af473efc60.jpg,"a white flower with a yellow center, a type of daisy"
daisy\10993710036_2033222c91.jpg,"a bunch of white flowers, a type of daisy"
daisy\10993818044_4c19b86c82.jpg,"a bunch of white flowers, a type of daisy"
daisy\10994032453_ac7f8d9e2e.jpg,"a bunch of white flowers sitting on top of a green plant, a type of daisy"
daisy\11023214096_b5b39fab08.jpg,"a bunch of white flowers with yellow centers, a type of daisy"
daisy\11023272144_fce94401f2_m.jpg,"a bunch of white daies, a type of daisy"
daisy\11023277956_8980d53169_m.jpg,"a bunch of white flowers, a type of daisy"
daisy\11124324295_503f3a0804.jpg,"a flower in the fore of a person, a type of daisy"
daisy\11439894966_dca877f0cd.jpg,"a bunch of flowers, a type of daisy"
daisy\11834945233_a53b7a92ac_m.jpg,"a small white flower, a type of daisy"
daisy\11870378973_2ec1919f12.jpg,"a field of dai dai dai dai dai dai dai dai dai dai dai dai dai dai dai dai dai dai, a type of daisy"
daisy\11891885265_ccefec7284_n.jpg,"a flower is sitting on top of a book, a type of daisy"
daisy\12193032636_b50ae7db35_n.jpg,"a white flower with yellow center, a type of daisy"
daisy\12348343085_d4c396e5b5_m.jpg,"a close up of a flower with water droplets, a type of daisy"
daisy\12585131704_0f64b17059_m.jpg,"a bunch of white flowers, a type of daisy"
daisy\12601254324_3cb62c254a_m.jpg,"a flower in the water, a type of daisy"
daisy\12701063955_4840594ea6_n.jpg,"a field of dai dai dai dai dai dai dai dai dai dai dai dai dai dai dai dai dai dai, a type of daisy"
daisy\12891819633_e4c82b51e8.jpg,"a small white flower sitting in the grass, a type of daisy"
daisy\13491959645_2cd9df44d6_n.jpg,"a white flower with yellow center, a type of daisy"
daisy\13583238844_573df2de8e_m.jpg,"a field of flowers, a type of daisy"
daisy\13826249325_f61cb15f86_n.jpg,"a bunch of white flowers floating in a pond, a type of daisy"
daisy\13901930939_a7733c03f0_n.jpg,"a single white flower with a yellow center, a type of daisy"
daisy\13953307149_f8de6a768c_m.jpg,"a white flower, a type of daisy"
daisy\13977181862_f8237b6b52.jpg,"a white flower with yellow center, a type of daisy"
daisy\14021430525_e06baf93a9.jpg,"a field of wild flowers, a type of daisy"
daisy\14073784469_ffb12f3387_n.jpg,"a white flower with yellow center, a type of daisy"
daisy\14087947408_9779257411_n.jpg,"a blue butterfly on a white flower, a type of daisy"
daisy\14088053307_1a13a0bf91_n.jpg,"a green wall, a type of daisy"
daisy\14114116486_0bb6649bc1_m.jpg,"a field of dai dai dai dai dai dai dai dai dai dai dai dai dai dai dai dai dai dai, a type of daisy"
daisy\14147016029_8d3cf2414e.jpg,"a bunch of flowers, a type of daisy"
